Sample Name,1,2,3
"07_4662_T_HCC1_Core[1,1,G]_[54178,3757].im3",1,9,495
"07_4662_T_HCC1_Core[1,1,O]_[64928,4237].im3",2,1,316
"08_27704_T_HCC1_Core[1,3,G]_[53842,6972].im3",0,44,66
"08_27704_T_HCC1_Core[1,3,O]_[64593,7404].im3",NA,1,102
"09_12058_T_HCC1_Core[1,5,G]_[53650,10140].im3",50,79,76
"09_12058_T_HCC1_Core[1,5,O]_[64353,10620].im3",0,2,1067
"09_19505_T_HCC1_Core[1,7,G]_[53554,13307].im3",37,101,215
"09_19505_T_HCC1_Core[1,7,O]_[64353,13643].im3",0,3,737
"10_1150_T_HCC1_Core[1,9,G]_[53362,16427].im3",1,49,150
"10_1150_T_HCC1_Core[1,9,O]_[64209,16715].im3",NA,0,61
"10_16169_T_HCC1_Core[1,5,N]_[62997,10487].im3",6,0,0
"10_19418_T_HCC1_Core[1,7,F]_[52018,13307].im3",10,1,NA
"10_19418_T_HCC1_Core[1,7,N]_[62865,13595].im3",19,0,23
"10_26818_T_HCC1_Core[1,9,F]_[51922,16427].im3",299,155,2
"10_26818_T_HCC1_Core[1,9,N]_[62721,16667].im3",18,23,1118
"10_26871_T_HCC1_Core[1,11,F]_[52114,19546].im3",16,5,421
"10_26871_T_HCC1_Core[1,11,N]_[62529,19786].im3",0,9,203
"10_28011_T_HCC1_Core[1,1,E]_[51298,3901].im3",0,26,1108
"10_28011_T_HCC1_Core[1,1,M]_[62145,3901].im3",0,21,1086
"10_6446_T_HCC1_Core[1,11,G]_[53554,19594].im3",82,296,62
"10_6446_T_HCC1_Core[1,11,O]_[64113,19834].im3",69,112,293
"10_7994_T_HCC1_Core[1,1,F]_[52690,3805].im3",11,5,24
"10_7994_T_HCC1_Core[1,1,N]_[63297,4045].im3",38,1,22
"10_8486_T_HCC1_Core[1,3,F]_[52306,7020].im3",NA,505,6
"10_8486_T_HCC1_Core[1,3,N]_[63105,7260].im3",1,239,75
"11_17328_T_HCC1_Core[1,9,M]_[61185,16619].im3",1,NA,174
"11_18529_T_HCC1_Core[1,11,E]_[50674,19642].im3",1,115,91
"11_18529_T_HCC1_Core[1,11,M]_[61473,19738].im3",5,5,3
"11_19586_T_HCC1_Core[1,1,L]_[60801,3853].im3",0,181,182
"11_19933_T_HCC1_Core[1,3,D]_[49667,7116].im3",0,2,78
"11_19933_T_HCC1_Core[1,3,L]_[60273,7068].im3",0,5,59
"11_20683_T_HCC1_Core[1,5,D]_[49523,10236].im3",11,4,18
"11_22196_T_HCC1_Core[1,7,L]_[60177,13499].im3",20,18,391
"11_25684_T_HCC1_Core[1,9,D]_[49379,16283].im3",32,56,134
"11_25684_T_HCC1_Core[1,9,L]_[60081,16619].im3",2,156,203
"11_25993_T_HCC1_Core[1,11,L]_[59793,19690].im3",0,2,9
"11_26686_T_HCC1_Core[1,1,C]_[48659,3949].im3",1,44,1164
"11_26686_T_HCC1_Core[1,2,C]_[48563,5532].im3",3,2,829
"11_3580_T_HCC1_Core[1,3,M]_[61761,7164].im3",0,NA,17
"11_8671_T_HCC1_Core[1,5,E]_[50770,10140].im3",NA,25,190
"11_8671_T_HCC1_Core[1,5,M]_[61521,10428].im3",NA,111,182
"11_9225_T_HCC1_Core[1,7,E]_[50689,13121].im3",55,94,7
"11_9225_T_HCC1_Core[1,7,M]_[61521,13595].im3",5,1,181
"12_10971_T_HCC1_Core[1,9,C]_[47891,16331].im3",0,NA,24
"12_10971_T_HCC1_Core[1,9,K]_[58593,16571].im3",0,3,50
"12_20368_T_HCC1_Core[1,1,B]_[47219,3997].im3",0,0,1
"12_20368_T_HCC1_Core[1,1,J]_[58018,3805].im3",NA,NA,3
"12_21031_T_HCC1_Core[1,3,B]_[47027,7116].im3",0,32,174
"12_21031_T_HCC1_Core[1,3,J]_[57778,7068].im3",0,6,52
"12_28533_T_HCC1_Core[1,5,B]_[46787,10188].im3",48,4,189
"12_28533_T_HCC1_Core[1,5,J]_[57394,10188].im3",54,22,50
"12_291_T_HCC1_Core[1,5,K]_[58929,10236].im3",2,0,11
"12_29804_T_HCC1_Core[1,7,B]_[46499,13163].im3",3,7,84
"12_29804_T_HCC1_Core[1,7,J]_[57250,13307].im3",NA,15,234
"12_32083_T_HCC1_Core[1,1,A]_[45731,4045].im3",0,10,21
"12_32083_T_HCC1_Core[1,1,I]_[56626,3853].im3",3,12,417
"12_8132_T_HCC1_Core[1,7,C]_[47939,13307].im3",1,3,1
"12_8132_T_HCC1_Core[1,7,K]_[58689,13451].im3",15,313,635
"13_20857_T_HCC2_Core[1,9,H]_[50780,16030].im3",27,174,252
"13_30248_T_HCC2_Core[1,7,A]_[39598,12430].im3",36,2,402
"13_30248_T_HCC2_Core[1,7,H]_[50972,12958].im3",37,11,266
"13_372_T_HCC1_Core[1,3,A]_[45443,7020].im3",0,NA,2
"13_372_T_HCC1_Core[1,3,I]_[56290,7068].im3",3,1,1
"13_9790_T_HCC2_Core[1,11,A]_[39790,18477].im3",NA,0,29
"13_9790_T_HCC2_Core[1,11,H]_[50636,19053].im3",1,6,92
"14_10898_T_HCC2_Core[1,10,B]_[41037,17085].im3",0,14,64
"14_10898_T_HCC2_Core[1,10,I]_[52316,17661].im3",1,18,246
"14_11220_T_HCC2_Core[1,8,I]_[52364,14542].im3",NA,8,26
"14_50885_T_HCC2_Core[1,6,B]_[41373,11038].im3",143,63,413
"14_50885_T_HCC2_Core[1,6,I]_[52604,11470].im3",0,79,202
"14_55372_T_HCC2_Core[1,4,B]_[41613,8063].im3",138,37,414
"14_55372_T_HCC2_Core[1,4,I]_[52796,8447].im3",28,52,848
"14_5837_T_HCC2_Core[1,4,A]_[39982,7967].im3",NA,0,317
"14_5837_T_HCC2_Core[1,4,H]_[51164,8447].im3",NA,8,258
"14_5897_T_HCC2_Core[1,2,A]_[40174,4895].im3",2,0,734
"14_5897_T_HCC2_Core[1,2,H]_[51308,5327].im3",NA,2,22
"14_62694_T_HCC2_Core[1,12,C]_[42421,20215].im3",31,0,66
"14_62694_T_HCC2_Core[1,12,J]_[53756,20781].im3",3,0,196
"14_62836_T_HCC2_Core[1,10,J]_[53900,17805].im3",0,1,39
"14_64469_T_HCC2_Core[1,8,C]_[42765,14158].im3",66,0,NA
"14_64469_T_HCC2_Core[1,8,J]_[54044,14590].im3",231,0,NA
"14_65050_T_HCC2_Core[1,6,C]_[43053,11134].im3",323,16,416
"14_65050_T_HCC2_Core[1,6,J]_[54140,11566].im3",251,45,695
"14_65563_T_HCC2_Core[1,4,J]_[54380,8495].im3",0,7,502
"14_65641_T_HCC2_Core[1,12,D]_[44013,20397].im3",NA,NA,101
"14_65723_T_HCC2_Core[1,10,D]_[44301,17277].im3",0,10,113
"14_65723_T_HCC2_Core[1,10,K]_[55579,17661].im3",114,11,20
"14_66422_T_HCC2_Core[1,8,D]_[44493,14206].im3",21,20,3
"14_66422_T_HCC2_Core[1,8,K]_[55627,14734].im3",31,23,27
"14_8155_T_HCC2_Core[1,12,B]_[40749,20157].im3",3,7,10
"15_04414_T_HCC2_Core[1,6,D]_[44733,11134].im3",1,0,523
"15_04414_T_HCC2_Core[1,6,K]_[55819,11566].im3",0,0,707
"15_10312_T_HCC2_Core[1,4,D]_[44829,8063].im3",NA,0,65
"15_10312_T_HCC2_Core[1,4,K]_[56059,8687].im3",0,8,287
"15_24019_T_HCC2_Core[1,12,E]_[45645,20397].im3",0,0,1044
"15_28478_T_HCC2_Core[1,10,E]_[45837,17373].im3",28,2,2175
"15_28478_T_HCC2_Core[1,10,L]_[57163,17757].im3",15,6,1733
"16_02092_T_HCC2_Core[1,8,L]_[57163,14782].im3",0,0,391
"16_20351_T_HCC2_Core[1,6,E]_[46173,11230].im3",88,0,0
"16_20351_T_HCC2_Core[1,6,L]_[57307,11758].im3",777,7,0
