Sample.Name	1	2	3	purity
07_4662_T_HCC1_Core[1,1,G]_[54178,3757].im3	30	1317	218	0.8415335463258786
07_4662_T_HCC1_Core[1,1,O]_[64928,4237].im3	39	334	62	0.767816091954023
08_27704_T_HCC1_Core[1,3,G]_[53842,6972].im3	1	1513	87	0.9450343535290443
08_27704_T_HCC1_Core[1,3,O]_[64593,7404].im3	0	1375	103	0.9303112313937754
09_12058_T_HCC1_Core[1,5,G]_[53650,10140].im3	462	2366	46	0.8232428670842032
09_12058_T_HCC1_Core[1,5,O]_[64353,10620].im3	7	1407	130	0.9112694300518135
09_19505_T_HCC1_Core[1,7,G]_[53554,13307].im3	982	38	647	0.5890821835632873
09_19505_T_HCC1_Core[1,7,O]_[64353,13643].im3	26	33	690	0.9212283044058746
10_1150_T_HCC1_Core[1,9,G]_[53362,16427].im3	47	59	4731	0.9780855902418855
10_1150_T_HCC1_Core[1,9,O]_[64209,16715].im3	0	4	3837	0.9989586045300703
10_16169_T_HCC1_Core[1,5,N]_[62997,10487].im3	0	584	2	0.9965870307167235
10_19418_T_HCC1_Core[1,7,F]_[52018,13307].im3	2679	2	0	0.9992540096978739
10_19418_T_HCC1_Core[1,7,N]_[62865,13595].im3	2288	4	13	0.9926247288503254
10_26818_T_HCC1_Core[1,9,F]_[51922,16427].im3	822	1782	1	0.6840690978886756
10_26818_T_HCC1_Core[1,9,N]_[62721,16667].im3	448	561	1288	0.5607313887679582
10_26871_T_HCC1_Core[1,11,F]_[52114,19546].im3	309	215	472	0.4738955823293173
10_26871_T_HCC1_Core[1,11,N]_[62529,19786].im3	6	143	2626	0.9463063063063063
10_28011_T_HCC1_Core[1,1,E]_[51298,3901].im3	1119	1	857	0.5660091047040972
10_28011_T_HCC1_Core[1,1,M]_[62145,3901].im3	1754	6	638	0.731442869057548
10_6446_T_HCC1_Core[1,11,G]_[53554,19594].im3	7762	133	93	0.971707561342013
10_6446_T_HCC1_Core[1,11,O]_[64113,19834].im3	715	5326	394	0.8276612276612276
10_7994_T_HCC1_Core[1,1,F]_[52690,3805].im3	69	1958	24	0.9546562652364701
10_7994_T_HCC1_Core[1,1,N]_[63297,4045].im3	398	1026	9	0.7159804605722261
10_8486_T_HCC1_Core[1,3,F]_[52306,7020].im3	0	23	2852	0.992
10_8486_T_HCC1_Core[1,3,N]_[63105,7260].im3	1	253	2413	0.9047619047619048
11_17328_T_HCC1_Core[1,9,M]_[61185,16619].im3	206	0	133	0.6076696165191741
11_18529_T_HCC1_Core[1,11,E]_[50674,19642].im3	1226	1	17	0.9855305466237942
11_18529_T_HCC1_Core[1,11,M]_[61473,19738].im3	3	1603	17	0.9876771410967344
11_19586_T_HCC1_Core[1,1,L]_[60801,3853].im3	3	1307	783	0.6244624940277114
11_19933_T_HCC1_Core[1,3,D]_[49667,7116].im3	130	212	59	0.5286783042394015
11_19933_T_HCC1_Core[1,3,L]_[60273,7068].im3	66	10	723	0.904881101376721
11_20683_T_HCC1_Core[1,5,D]_[49523,10236].im3	154	233	40	0.5456674473067916
11_22196_T_HCC1_Core[1,7,L]_[60177,13499].im3	124	104	1187	0.83886925795053
11_25684_T_HCC1_Core[1,9,D]_[49379,16283].im3	233	10	1554	0.8647746243739566
11_25684_T_HCC1_Core[1,9,L]_[60081,16619].im3	53	181	2221	0.904684317718941
11_25993_T_HCC1_Core[1,11,L]_[59793,19690].im3	12	1	60	0.821917808219178
11_26686_T_HCC1_Core[1,1,C]_[48659,3949].im3	441	494	860	0.479108635097493
11_26686_T_HCC1_Core[1,2,C]_[48563,5532].im3	423	46	429	0.477728285077951
11_3580_T_HCC1_Core[1,3,M]_[61761,7164].im3	1	0	987	0.9989878542510121
11_8671_T_HCC1_Core[1,5,E]_[50770,10140].im3	0	44	1580	0.9729064039408867
11_8671_T_HCC1_Core[1,5,M]_[61521,10428].im3	0	115	1721	0.9373638344226579
11_9225_T_HCC1_Core[1,7,E]_[50689,13121].im3	1532	319	18	0.8196896736222579
11_9225_T_HCC1_Core[1,7,M]_[61521,13595].im3	43	1812	16	0.968466060929984
12_10971_T_HCC1_Core[1,9,C]_[47891,16331].im3	2154	0	7	0.996760758907913
12_10971_T_HCC1_Core[1,9,K]_[58593,16571].im3	4220	0	23	0.9945793070940372
12_20368_T_HCC1_Core[1,1,B]_[47219,3997].im3	2	2	1003	0.9960278053624627
12_20368_T_HCC1_Core[1,1,J]_[58018,3805].im3	0	0	1639	1
12_21031_T_HCC1_Core[1,3,B]_[47027,7116].im3	10	974	356	0.7268656716417911
12_21031_T_HCC1_Core[1,3,J]_[57778,7068].im3	10	352	91	0.7770419426048565
12_28533_T_HCC1_Core[1,5,B]_[46787,10188].im3	937	243	78	0.7448330683624801
12_28533_T_HCC1_Core[1,5,J]_[57394,10188].im3	61	1189	182	0.8303072625698324
12_291_T_HCC1_Core[1,5,K]_[58929,10236].im3	1337	4	4	0.9940520446096655
12_29804_T_HCC1_Core[1,7,B]_[46499,13163].im3	361	49	144	0.6516245487364621
12_29804_T_HCC1_Core[1,7,J]_[57250,13307].im3	0	676	465	0.5924627519719544
12_32083_T_HCC1_Core[1,1,A]_[45731,4045].im3	8	75	77	0.48125
12_32083_T_HCC1_Core[1,1,I]_[56626,3853].im3	501	3	992	0.6631016042780749
12_8132_T_HCC1_Core[1,7,C]_[47939,13307].im3	3341	2	0	0.9994017349685911
12_8132_T_HCC1_Core[1,7,K]_[58689,13451].im3	1135	2472	171	0.6543144520910534
13_20857_T_HCC2_Core[1,9,H]_[50780,16030].im3	1690	103	513	0.7328707718993929
13_30248_T_HCC2_Core[1,7,A]_[39598,12430].im3	1245	183	518	0.6397738951695786
13_30248_T_HCC2_Core[1,7,H]_[50972,12958].im3	602	453	565	0.37160493827160496
13_372_T_HCC1_Core[1,3,A]_[45443,7020].im3	1240	0	1	0.9991941982272361
13_372_T_HCC1_Core[1,3,I]_[56290,7068].im3	2047	7	0	0.9965920155793574
13_9790_T_HCC2_Core[1,11,A]_[39790,18477].im3	0	2683	29	0.9893067846607669
13_9790_T_HCC2_Core[1,11,H]_[50636,19053].im3	1	3314	126	0.963092124382447
14_10898_T_HCC2_Core[1,10,B]_[41037,17085].im3	171	17	154	0.5
14_10898_T_HCC2_Core[1,10,I]_[52316,17661].im3	449	14	524	0.5309017223910841
14_11220_T_HCC2_Core[1,8,I]_[52364,14542].im3	0	42	1603	0.9744680851063829
14_50885_T_HCC2_Core[1,6,B]_[41373,11038].im3	296	1151	338	0.6448179271708684
14_50885_T_HCC2_Core[1,6,I]_[52604,11470].im3	3	622	1461	0.7003835091083414
14_55372_T_HCC2_Core[1,4,B]_[41613,8063].im3	420	2354	236	0.7820598006644518
14_55372_T_HCC2_Core[1,4,I]_[52796,8447].im3	119	1973	902	0.6589846359385437
14_5837_T_HCC2_Core[1,4,A]_[39982,7967].im3	0	1073	242	0.8159695817490494
14_5837_T_HCC2_Core[1,4,H]_[51164,8447].im3	0	234	1171	0.8334519572953737
14_5897_T_HCC2_Core[1,2,A]_[40174,4895].im3	26	278	622	0.67170626349892
14_5897_T_HCC2_Core[1,2,H]_[51308,5327].im3	0	39	686	0.9462068965517242
14_62694_T_HCC2_Core[1,12,C]_[42421,20215].im3	303	745	1	0.7102001906577693
14_62694_T_HCC2_Core[1,12,J]_[53756,20781].im3	204	120	23	0.5878962536023055
14_62836_T_HCC2_Core[1,10,J]_[53900,17805].im3	26	21	1187	0.9619124797406807
14_64469_T_HCC2_Core[1,8,C]_[42765,14158].im3	1	2110	0	0.9995262908574135
14_64469_T_HCC2_Core[1,8,J]_[54044,14590].im3	1	1862	0	0.9994632313472893
14_65050_T_HCC2_Core[1,6,C]_[43053,11134].im3	4482	505	257	0.8546910755148741
14_65050_T_HCC2_Core[1,6,J]_[54140,11566].im3	3302	855	370	0.7294013695604152
14_65563_T_HCC2_Core[1,4,J]_[54380,8495].im3	6	496	547	0.5214489990467112
14_65641_T_HCC2_Core[1,12,D]_[44013,20397].im3	0	0	859	1
14_65723_T_HCC2_Core[1,10,D]_[44301,17277].im3	6	489	149	0.7593167701863354
14_65723_T_HCC2_Core[1,10,K]_[55579,17661].im3	60	568	58	0.8279883381924198
14_66422_T_HCC2_Core[1,8,D]_[44493,14206].im3	3303	7	4	0.9966807483403741
14_66422_T_HCC2_Core[1,8,K]_[55627,14734].im3	3097	19	17	0.988509415895308
14_8155_T_HCC2_Core[1,12,B]_[40749,20157].im3	2693	11	1	0.9955637707948244
15_04414_T_HCC2_Core[1,6,D]_[44733,11134].im3	71	14	685	0.8896103896103896
15_04414_T_HCC2_Core[1,6,K]_[55819,11566].im3	11	40	800	0.9400705052878966
15_10312_T_HCC2_Core[1,4,D]_[44829,8063].im3	0	2013	12	0.9940740740740741
