Sample Name,Cells
"07_4662_T_HCC1_Core[1,1,G]_[54178,3757].im3",2070
"07_4662_T_HCC1_Core[1,1,O]_[64928,4237].im3",754
"08_27704_T_HCC1_Core[1,3,G]_[53842,6972].im3",1711
"08_27704_T_HCC1_Core[1,3,O]_[64593,7404].im3",1581
"09_12058_T_HCC1_Core[1,5,G]_[53650,10140].im3",3079
"09_12058_T_HCC1_Core[1,5,O]_[64353,10620].im3",2613
"09_19505_T_HCC1_Core[1,7,G]_[53554,13307].im3",2020
"09_19505_T_HCC1_Core[1,7,O]_[64353,13643].im3",1489
"10_1150_T_HCC1_Core[1,9,G]_[53362,16427].im3",5037
"10_1150_T_HCC1_Core[1,9,O]_[64209,16715].im3",3902
"10_16169_T_HCC1_Core[1,5,N]_[62997,10487].im3",592
"10_19418_T_HCC1_Core[1,7,F]_[52018,13307].im3",2692
"10_19418_T_HCC1_Core[1,7,N]_[62865,13595].im3",2347
"10_26818_T_HCC1_Core[1,9,F]_[51922,16427].im3",3061
"10_26818_T_HCC1_Core[1,9,N]_[62721,16667].im3",3456
"10_26871_T_HCC1_Core[1,11,F]_[52114,19546].im3",1438
"10_26871_T_HCC1_Core[1,11,N]_[62529,19786].im3",2987
"10_28011_T_HCC1_Core[1,1,E]_[51298,3901].im3",3111
"10_28011_T_HCC1_Core[1,1,M]_[62145,3901].im3",3505
"10_6446_T_HCC1_Core[1,11,G]_[53554,19594].im3",8428
"10_6446_T_HCC1_Core[1,11,O]_[64113,19834].im3",6909
"10_7994_T_HCC1_Core[1,1,F]_[52690,3805].im3",2091
"10_7994_T_HCC1_Core[1,1,N]_[63297,4045].im3",1494
"10_8486_T_HCC1_Core[1,3,F]_[52306,7020].im3",3386
"10_8486_T_HCC1_Core[1,3,N]_[63105,7260].im3",2982
"11_17328_T_HCC1_Core[1,9,M]_[61185,16619].im3",514
"11_18529_T_HCC1_Core[1,11,E]_[50674,19642].im3",1451
"11_18529_T_HCC1_Core[1,11,M]_[61473,19738].im3",1636
"11_19586_T_HCC1_Core[1,1,L]_[60801,3853].im3",2456
"11_19933_T_HCC1_Core[1,3,D]_[49667,7116].im3",481
"11_19933_T_HCC1_Core[1,3,L]_[60273,7068].im3",863
"11_20683_T_HCC1_Core[1,5,D]_[49523,10236].im3",460
"11_22196_T_HCC1_Core[1,7,L]_[60177,13499].im3",1844
"11_25684_T_HCC1_Core[1,9,D]_[49379,16283].im3",2019
"11_25684_T_HCC1_Core[1,9,L]_[60081,16619].im3",2816
"11_25993_T_HCC1_Core[1,11,L]_[59793,19690].im3",84
"11_26686_T_HCC1_Core[1,1,C]_[48659,3949].im3",3004
"11_26686_T_HCC1_Core[1,2,C]_[48563,5532].im3",1732
"11_3580_T_HCC1_Core[1,3,M]_[61761,7164].im3",1005
"11_8671_T_HCC1_Core[1,5,E]_[50770,10140].im3",1839
"11_8671_T_HCC1_Core[1,5,M]_[61521,10428].im3",2129
"11_9225_T_HCC1_Core[1,7,E]_[50689,13121].im3",2025
"11_9225_T_HCC1_Core[1,7,M]_[61521,13595].im3",2058
"12_10971_T_HCC1_Core[1,9,C]_[47891,16331].im3",2185
"12_10971_T_HCC1_Core[1,9,K]_[58593,16571].im3",4296
"12_20368_T_HCC1_Core[1,1,B]_[47219,3997].im3",1008
"12_20368_T_HCC1_Core[1,1,J]_[58018,3805].im3",1642
"12_21031_T_HCC1_Core[1,3,B]_[47027,7116].im3",1546
"12_21031_T_HCC1_Core[1,3,J]_[57778,7068].im3",511
"12_28533_T_HCC1_Core[1,5,B]_[46787,10188].im3",1499
"12_28533_T_HCC1_Core[1,5,J]_[57394,10188].im3",1558
"12_291_T_HCC1_Core[1,5,K]_[58929,10236].im3",1358
"12_29804_T_HCC1_Core[1,7,B]_[46499,13163].im3",648
"12_29804_T_HCC1_Core[1,7,J]_[57250,13307].im3",1390
"12_32083_T_HCC1_Core[1,1,A]_[45731,4045].im3",191
"12_32083_T_HCC1_Core[1,1,I]_[56626,3853].im3",1928
"12_8132_T_HCC1_Core[1,7,C]_[47939,13307].im3",3348
"12_8132_T_HCC1_Core[1,7,K]_[58689,13451].im3",4741
"13_20857_T_HCC2_Core[1,9,H]_[50780,16030].im3",2759
"13_30248_T_HCC2_Core[1,7,A]_[39598,12430].im3",2386
"13_30248_T_HCC2_Core[1,7,H]_[50972,12958].im3",1934
"13_372_T_HCC1_Core[1,3,A]_[45443,7020].im3",1243
"13_372_T_HCC1_Core[1,3,I]_[56290,7068].im3",2059
"13_9790_T_HCC2_Core[1,11,A]_[39790,18477].im3",2741
"13_9790_T_HCC2_Core[1,11,H]_[50636,19053].im3",3540
"14_10898_T_HCC2_Core[1,10,B]_[41037,17085].im3",420
"14_10898_T_HCC2_Core[1,10,I]_[52316,17661].im3",1252
"14_11220_T_HCC2_Core[1,8,I]_[52364,14542].im3",1679
"14_50885_T_HCC2_Core[1,6,B]_[41373,11038].im3",2404
"14_50885_T_HCC2_Core[1,6,I]_[52604,11470].im3",2367
"14_55372_T_HCC2_Core[1,4,B]_[41613,8063].im3",3599
"14_55372_T_HCC2_Core[1,4,I]_[52796,8447].im3",3922
"14_5837_T_HCC2_Core[1,4,A]_[39982,7967].im3",1632
"14_5837_T_HCC2_Core[1,4,H]_[51164,8447].im3",1671
"14_5897_T_HCC2_Core[1,2,A]_[40174,4895].im3",1662
"14_5897_T_HCC2_Core[1,2,H]_[51308,5327].im3",749
"14_62694_T_HCC2_Core[1,12,C]_[42421,20215].im3",1146
"14_62694_T_HCC2_Core[1,12,J]_[53756,20781].im3",546
"14_62836_T_HCC2_Core[1,10,J]_[53900,17805].im3",1274
"14_64469_T_HCC2_Core[1,8,C]_[42765,14158].im3",2177
"14_64469_T_HCC2_Core[1,8,J]_[54044,14590].im3",2094
"14_65050_T_HCC2_Core[1,6,C]_[43053,11134].im3",5999
"14_65050_T_HCC2_Core[1,6,J]_[54140,11566].im3",5518
"14_65563_T_HCC2_Core[1,4,J]_[54380,8495].im3",1558
"14_65641_T_HCC2_Core[1,12,D]_[44013,20397].im3",960
"14_65723_T_HCC2_Core[1,10,D]_[44301,17277].im3",767
"14_65723_T_HCC2_Core[1,10,K]_[55579,17661].im3",831
"14_66422_T_HCC2_Core[1,8,D]_[44493,14206].im3",3358
"14_66422_T_HCC2_Core[1,8,K]_[55627,14734].im3",3214
"14_8155_T_HCC2_Core[1,12,B]_[40749,20157].im3",2725
"15_04414_T_HCC2_Core[1,6,D]_[44733,11134].im3",1294
"15_04414_T_HCC2_Core[1,6,K]_[55819,11566].im3",1558
"15_10312_T_HCC2_Core[1,4,D]_[44829,8063].im3",2090
"15_10312_T_HCC2_Core[1,4,K]_[56059,8687].im3",1878
"15_24019_T_HCC2_Core[1,12,E]_[45645,20397].im3",1578
"15_28478_T_HCC2_Core[1,10,E]_[45837,17373].im3",3772
"15_28478_T_HCC2_Core[1,10,L]_[57163,17757].im3",3677
"16_02092_T_HCC2_Core[1,8,L]_[57163,14782].im3",1144
"16_20351_T_HCC2_Core[1,6,E]_[46173,11230].im3",4164
"16_20351_T_HCC2_Core[1,6,L]_[57307,11758].im3",3505
